Bin.,No.,Description,Packing Size,UOM
13-LG2,ZZTAFP1KG,TUNGSAN ASSAM FISH PASTE,1KG / PKT,PKT
13-LG2,ZZTMRP1KG,TUNGSAN MEE REBUS PASTE,1KG / PKT,PKT
13-LG2,ZZTNLCP1KG,TUNGSAN NASI LEMAK CHILLI PASTE,12 x 1kg,PKT
13-LG2,ZZTRP1KG,TUNGSAN RENDANG PASTE,10 x 1kg,PKT
13-LH1,ZZKCTDLS640ML,"KCT DARK SOYA SAUCE ""STANDARD"" ""H""",12 x 640ML,BTL
13-LH1,ZZKCTLS640ML,"KCT LIGHT SOYA SAUCE STANDARD ""H""",12 x 640ML,BTL
13-LH2,ZZCP1KG,TUNGSAN CURRY CHICKEN PASTE,10 x 1kg,PKT
13-LH2,ZZSL1KG,"TUNGSAN CURRY LONTONG PASTE SAYUR LODEH""""",1KG / PKT,PKT
13-LH2,ZZLP1KG,TUNGSAN LAKSA PASTE,10 X 1KG,PKT
13-LH2,ZZSPB1KG,TUNGSAN SATAY PASTE FOR BEE HOON,1KG / PKT,PKT
13-LK1,ZZKCTCRDSS640ML,KCT CHICKEN RICE DARK SOYA SAUCE,12 X 640ML,BTL
13-LK1,ZZKCTDSB640ML,"KCT DARK SOYA SAUCE - BEST ""RED CAP""",12 X 640ML,BTL
13-LK1,ZZKCTDSS640ML,"KCT DARK SOYA SAUCE - SUPERIOR ""RED CAP""",12 X 640ML,BTL
13-LK1,ZZKCTLSS640ML,KCT LIGHT SOYA SAUCE SUPERIOR,12 X 640ML,BTL
13-LK2,ZZTHS5LTR,"TUNGSAN HOISIN SEAFOOD"" SAUCE""",5LTR / TUB,TUB
13-LK2,ZZHBP5LTR,"TUNGSAN HOT BEAN PASTE ""DOU BAN JIANG""",5 LTR / TUB,TUB
13-LK2,ZZTMSP1KG,TUNGSAN MEE SIAM PASTE,12 x 1kg,PKT
13-LK2,ZZTSTC1KG,TUNGSAN SAMBAL TUMIS COOKED,1KG / PKT,PKT
13-LL1,ZZBWV1GAL,ARTIFICIAL WHITE VINEGAR,4 X 5LTR,TUB
13-LL1,ZZVOS5LTR,VEGETARIAN OYSTER SAUCE,4 X 5KG,TUB
13-LL2,ZZCS5LTR,HAI'S CHILLI GARLIC SAUCE  - CHICKEN RICE,5LTR / TUB,TUB
13-LL2,ZZHPS5LTR,HAI'S PLUM SAUCE YS-22,5LTR / TUB,TUB
13-LL2,ZZLS5LTR,LEMON SAUCE YS-23,5LTR / TUB,TUB
