,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
4817,4818,12/12/2018,3793105,348132,2,348132,A0706104,A07,6,"[31.25, 10.5]",A0706,"(250, 140)"
4818,4818,12/12/2018,3793105,371956,2,371956,A0310501,A03,10,"[44.25, 13.5]",A0310,"(430, 380)"
4819,4816,12/12/2018,3793105,267259,2,267259,A0807504,A08,7,"[29.25, 12.0]",A0807,"(60, 360)"
4820,4815,12/12/2018,3793105,397385,1,397385,A0802304,A08,2,"[28.0, 6.0]",A0802,"(350, 60)"
4821,1754,12/12/2018,3793105,453965,1,453965,A1019401,A10,19,"[22.75, 21.0]",A1019,"(80, 60)"
4822,4823,12/12/2018,3793105,434122,1,434122,A1106403,A11,6,"[15.25, 10.5]",A1106,"(290, 60)"
4823,4823,12/12/2018,3793105,426516,1,426516,A0304302,A03,4,"[44.25, 9.0]",A0304,"(360, 300)"
4824,4823,12/12/2018,3793105,186518,1,186518,A0620202,A06,20,"[34.5, 21.0]",A0620,"(270, 80)"
4825,1755,12/12/2018,3793105,458561,1,458561,A1001203,A10,1,"[22.75, 6.0]",A1001,"(100, 380)"
4826,4827,12/12/2018,3793104,311341,1,311341,A0618202,A06,18,"[34.5, 19.5]",A0618,"(150, 220)"
4827,4827,12/12/2018,3793104,354785,2,354785,A1102101,A11,2,"[15.25, 6.0]",A1102,"(160, 280)"
4828,4829,12/12/2018,3793104,444802,2,444802,A0307104,A03,7,"[45.5, 12.0]",A0307,"(50, 220)"
4829,4829,12/12/2018,3793104,351116,1,351116,A0707103,A07,7,"[32.5, 12.0]",A0707,"(170, 60)"
4830,1756,12/12/2018,3793104,353788,1,353788,A0906503,A09,6,"[24, 10.5]",A0906,"(300, 100)"
4831,1757,12/12/2018,3793098,453965,1,453965,A1019401,A10,19,"[22.75, 21.0]",A1019,"(80, 60)"
4832,1758,12/12/2018,3793098,453966,1,453966,A1120202,A11,20,"[15.25, 21.0]",A1120,"(420, 180)"
4833,1759,12/12/2018,3793098,453967,1,453967,A1120203,A11,20,"[15.25, 21.0]",A1120,"(190, 20)"
4834,1760,12/12/2018,3793098,458561,1,458561,A1001203,A10,1,"[22.75, 6.0]",A1001,"(100, 380)"
4835,1761,12/12/2018,3793097,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
4836,1762,12/12/2018,3793094,348815,1,348815,A0904101,A09,4,"[24, 9.0]",A0904,"(200, 160)"
4837,1763,12/12/2018,3793094,453966,2,453966,A1120202,A11,20,"[15.25, 21.0]",A1120,"(420, 180)"
4838,1764,12/12/2018,3793094,458561,1,458561,A1001203,A10,1,"[22.75, 6.0]",A1001,"(100, 380)"
